＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161030063,FUT_C30_260312,,202603,,1598,1598.1,1608.73,,0.7982,204,TOPIX Core30
160090065,FUT_SJESG_250911,,202509,,3528.5,3528.6,3528.23,,0.5918,22,S&P/JPX 500ESGスコア・ティルト指数
160120065,FUT_SJESG_251211,,202512,,3503,3503.1,3528.23,,0.8509,113,S&P/JPX 500ESGスコア・ティルト指数
161030065,FUT_SJESG_260312,,202603,,3503.5,3503.6,3528.23,,0.7982,204,S&P/JPX 500ESGスコア・ティルト指数
160090066,FUT_FJNZR_250911,,202509,,2048,2048,2047.74,,0.5918,22,FTSE JPXネットゼロ・ジャパン500指数
160120066,FUT_FJNZR_251211,,202512,,2033,2033.1,2047.74,,0.8509,113,FTSE JPXネットゼロ・ジャパン500指数
161030066,FUT_FJNZR_260312,,202603,,2033.5,2033.5,2047.74,,0.7982,204,FTSE JPXネットゼロ・ジャパン500指数
160090067,FUT_NKC15_250911,,202509,,42110,42110,42120.5,,0.5918,22,日経平均気候変動指数
160120067,FUT_NKC15_251211,,202512,,41910,41912,42120.5,,0.8509,113,日経平均気候変動指数
161030067,FUT_NKC15_260312,,202603,,41910,41906,42120.5,,0.7982,204,日経平均気候変動指数
160090032,FUT_BANK_250911,,202509,,444.3,444.3,444.11,,0.5918,22,東証銀行
160120032,FUT_BANK_251211,,202512,,438.7,438.7,444.11,,0.8509,113,東証銀行
161030032,FUT_BANK_260312,,202603,,439.5,439.5,444.11,,0.7982,204,東証銀行
160090069,FUT_REIT_250911,,202509,,1912,1912,1926.01,,0.5918,22,東証REIT
160120069,FUT_REIT_251211,,202512,,1903,1903,1926.01,,0.8509,113,東証REIT
